Skill, Attribute, Difficulty, Defaults(; sep), page
Accounting,IQ,H,IQ-6;Finance-4;Mathematics (Statistics)-5;Merchant-5,174
Acrobatics,DX,H,DX-6,174
Acting,IQ,A,IQ-5;Performance-2;Public Speaking-5,174
Administration,IQ,A,IQ-5;Merchant-3,174
Aerobatics,DX,H,DX-6,174
Airshipman/TL,IQ,E,IQ-4,185
Alchemy/TL,IQ,VH,None,174
Animal Handling†,IQ,A,IQ-5,175
Anthropology†,IQ,H,IQ-6;Paleontology(Paleoanthropology)-2;Sociology-3,175
Aquabatics,DX,H,DX-6,174
Archaeology,IQ,H,IQ-6,176
Architecture/TL,IQ,A,IQ-5;Engineer (Civil)-4,176
Area Knowledge†,IQ,E,IQ-4;Geography(Regional)-3*,176
Armoury/TL†,IQ,A,IQ-5;Engineer(same)-4,178
Artillery/TL†,IQ,A,IQ-5,178
Artist†,IQ,H,IQ-6,179
Astronomy/TL,IQ,H,IQ-6,179
Autohypnosis,Will,H,Meditation-4,179
Axe/Mace,DX,A,Flail-4;Two-Handed Axe/Mace-3,208
Battlesuit/TL,DX,A,DX-5;Diving Suit-4;NBC Suit-2;Vacc Suit-2,192
Beam Weapons/TL†,DX,E,DX-4,179
Bicycling,DX,E,DX-4;Driving(Motorcycle)-4,80
Bioengineering/TL†,IQ,H,Biology-5,180
Biology/TL†,IQ,VH,IQ-6;Naturalist-6,180
Blind Fighting,Per,VH,None,180
Blowpipe,DX,H,DX-6,180
Boating/TL†,DX,A,DX-5;IQ-5,180
Body Control,HT,VH,None,181
Body Language,Per,A,Detect Lies-4;Psychology-4,181
Body Sense,DX,H,DX-6;Acrobatics-3,181
Bolas,DX,A,None,181
Bow,DX,A,DX-5,182
Boxing,DX,A,None,182
Brain Hacking/TL,IQ,H,Special,182
Brainwashing/TL,IQ,H,Special,182
Brawling,DX,E,None,182
Breaking Blow,IQ,H,None,182
Breath Control,HT,H,None,182
Broadsword,DX,A,Force Sword-4;Rapier-4;Saber-4;Shortsword-2;Two-Handed Sword-4,208
Camouflage,IQ,E,IQ-4;Survival-2,183
Captivate,Will,H,None,191
Carousing,HT,E,HT-4,183
Carpentry,IQ,E,IQ-4,183
Cartography/TL,IQ,A,IQ-5;Geography (any)-2;Mathematics (Surveying)-2;Navigation (any)-4,183
Chemistry/TL,IQ,H,IQ-6;Alchemy-3,183
Climbing,DX,A,DX-5,183
Cloak,DX,A,DX-5;Net-4;Shield (any)-4,184
#Combat Art or Sport,DX,Varies,Special,184
Computer Hacking/TL,IQ,VH,None,184
Computer Operation/TL,IQ,E,IQ-4,184
Computer Programming/TL,IQ,H,None,184
Connoisseur†,IQ,A,IQ-5*,185
Cooking,IQ,A,IQ-5;Housekeeping-5,185
Counterfeiting/TL,IQ,H,IQ-6;Forgery-2,185
Crewman/TL,IQ,E,IQ-4,185
