Rank,name,number,name,number
1,jacob,273450,emily,223488
2,michael,250174,madison,192976
3,joshua,231602,emma,181055
4,matthew,221266,olivia,155848
5,daniel,203404,hannah,155525
6,christopher,203006,abigail,150746
7,andrew,202208,isabella,149310
8,ethan,201611,samantha,134148
9,joseph,194377,elizabeth,133166
10,william,194079,ashley,132934
11,anthony,191592,alexis,130622
12,david,179488,sarah,124149
13,alexander,178585,sophia,119088
14,nicholas,177428,alyssa,114347
15,ryan,173072,grace,110584
16,tyler,165378,ava,104428
17,james,162812,taylor,100882
18,john,160684,brianna,99647
19,jonathan,144565,lauren,97096
20,noah,143238,chloe,96348
21,brandon,142807,natalie,94981
22,christian,142181,kayla,94233
23,dylan,139960,jessica,90555
24,samuel,138217,anna,90032
25,benjamin,137050,victoria,84823
26,nathan,134658,mia,83395
27,zachary,134621,hailey,81862
28,logan,133877,sydney,76397
29,justin,122830,jasmine,75920
30,gabriel,119610,julia,70803
31,jose,115612,morgan,70703
32,austin,112622,destiny,69617
33,kevin,110956,rachel,68139
34,elijah,110135,ella,67387
35,caleb,109900,kaitlyn,66841
36,robert,106429,megan,66781
37,thomas,101967,katherine,65286
38,jordan,100978,savannah,64610
39,cameron,95759,jennifer,63451
40,jack,95447,alexandra,61191
41,hunter,94731,allison,59923
42,jackson,94380,haley,56967
43,angel,94195,maria,56870
44,isaiah,92504,kaylee,56336
45,evan,92065,lily,56108
46,isaac,90548,makayla,54888
47,mason,90398,brooke,54630
48,luke,90382,mackenzie,54493
49,jason,88417,nicole,54486
50,gavin,88359,addison,51324
51,jayden,88351,stephanie,49903
52,aaron,86787,lillian,49300
53,connor,85920,andrea,49119
54,aiden,83395,zoe,48679
55,aidan,76435,faith,48659
56,kyle,76082,kimberly,48438
57,juan,75764,madeline,48252
58,charles,75232,alexa,48067
59,luis,74244,katelyn,47776
60,adam,70889,gabriella,47296
61,lucas,70881,gabrielle,46964
62,brian,69679,trinity,46796
63,eric,69393,amanda,46495
