Rank  ,Surname  ,Approx Number  
1,smith,2501922
2,johnson,2014470
3,williams,1738413
4,jones,1544427
5,brown,1544427
6,davis,1193760
7,miller,1054488
8,wilson,843093
9,moore,775944
10,taylor,773457
11,anderson,773457
12,thomas,773457
13,jackson,770970
14,white,693873
15,harris,683925
16,martin,678951
17,thompson,669003
18,garcia,631698
19,martinez,581958
20,robinson,579471
21,clark,574497
22,rodriguez,569523
23,lewis,562062
24,lee,547140
25,walker,544653
26,hall,497400
27,allen,494913
28,young,479991
29,hernandez,477504
30,king,472530
31,wright,470043
32,lopez,465069
33,hill,465069
34,scott,460095
35,green,455121
36,adams,432738
37,baker,425277
38,gonzalez,412842
39,nelson,402894
40,carter,402894
41,mitchell,397920
42,perez,385485
43,roberts,380511
44,turner,378024
45,phillips,370563
46,campbell,370563
47,parker,363102
48,evans,350667
49,edwards,340719
50,collins,333258
51,stewart,330771
52,sanchez,323310
53,morris,310875
54,rogers,305901
55,reed,303414
56,cook,298440
57,morgan,293466
58,bell,290979
59,murphy,290979
60,bailey,286005
61,rivera,281031
62,cooper,281031
63,richardson,278544
64,cox,273570
65,howard,273570
66,ward,268596
67,torres,268596
68,peterson,266109
69,gray,263622
70,ramirez,261135
71,james,261135
72,watson,256161
73,brooks,256161
74,kelly,253674
75,sanders,248700
76,price,246213
77,bennett,246213
78,wood,243726
79,barnes,241239
80,ross,238752
81,henderson,236265
82,coleman,236265
83,jenkins,236265
84,perry,233778
85,powell,231291
86,long,228804
87,patterson,228804
88,hughes,228804
89,flores,228804
90,washington,228804
91,butler,226317
92,simmons,226317
93,foster,226317
94,gonzales,216369
95,bryant,216369
96,alexander,211395
97,russell,211395
98,griffin,208908
99,diaz,208908
100,hayes,206421
101,myers,206421
102,ford,203934
103,hamilton,203934
104,graham,203934
105,sullivan,201447
106,wallace,201447
107,woods,198960
108,cole,198960
109,west,198960
110,jordan,193986
111,owens,193986
112,reynolds,193986
113,fisher,191499
114,ellis,191499
115,harrison,189012
116,gibson,186525
117,mcdonald,186525
118,cruz,186525
119,marshall,186525
120,ortiz,186525
121,gomez,186525
122,murray,184038
123,freeman,184038
124,wells,181551
125,webb,179064
126,simpson,174090
127,stevens,174090
128,tucker,174090
129,porter,171603
130,hunter,171603
131,hicks,171603
132,crawford,169116
133,henry,169116
134,boyd,169116
135,mason,169116
136,morales,166629
137,kennedy,166629
138,warren,166629
139,dixon,164142
140,ramos,164142
141,reyes,164142
142,burns,161655
143,gordon,161655
144,shaw,161655
145,holmes,161655
146,rice,159168
147,robertson,159168
148,hunt,156681
149,black,156681
150,daniels,154194
151,palmer,154194
152,mills,151707
153,nichols,149220
154,grant,149220
155,knight,149220
156,ferguson,146733
157,rose,146733
158,stone,146733
159,hawkins,146733
160,dunn,144246
161,perkins,144246
162,hudson,144246
163,spencer,141759
164,gardner,141759
165,stephens,141759
166,payne,141759
167,pierce,139272
168,berry,139272
169,matthews,139272
170,arnold,139272
171,wagner,136785
172,willis,136785
173,ray,136785
174,watkins,136785
175,olson,136785
176,carroll,136785
177,duncan,136785
178,snyder,136785
179,hart,134298
180,cunningham,134298
181,bradley,134298
182,lane,134298
183,andrews,134298
184,ruiz,134298
185,harper,134298
186,fox,131811
187,riley,131811
188,armstrong,131811
189,carpenter,131811
190,weaver,131811
191,greene,131811
192,lawrence,129324
193,elliott,129324
194,chavez,129324
195,sims,129324
196,austin,129324
197,peters,129324
198,kelley,129324
199,franklin,126837
200,lawson,126837
201,fields,126837
202,gutierrez,126837
203,ryan,126837
204,schmidt,126837
205,carr,126837
206,vasquez,126837
207,castillo,126837
208,wheeler,126837
209,chapman,124350
210,oliver,124350
211,montgomery,121863
212,richards,121863
213,williamson,121863
214,johnston,121863
215,banks,119376
216,meyer,119376
217,bishop,119376
218,mccoy,119376
219,howell,119376
220,alvarez,119376
221,morrison,119376
222,hansen,116889
223,fernandez,116889
224,garza,116889
225,harvey,116889
226,little,114402
227,burton,114402
228,stanley,114402
229,nguyen,114402
230,george,114402
231,jacobs,114402
232,reid,114402
233,kim,111915
234,fuller,111915
235,lynch,111915
236,dean,111915
237,gilbert,111915
238,garrett,111915
239,romero,111915
240,welch,109428
241,larson,109428
242,frazier,109428
243,burke,109428
244,hanson,106941
245,day,106941
246,mendoza,106941
247,moreno,106941
248,bowman,106941
249,medina,104454
250,fowler,104454
251,brewer,104454
252,hoffman,104454
253,carlson,104454
254,silva,104454
255,pearson,104454
256,holland,104454
257,douglas,101967
258,fleming,101967
259,jensen,101967
260,vargas,101967
261,byrd,101967
262,davidson,101967
263,hopkins,101967
264,may,99480
265,terry,99480
266,herrera,99480
267,wade,99480
268,soto,99480
269,walters,99480
270,curtis,99480
271,neal,96993
272,caldwell,96993
273,lowe,96993
274,jennings,96993
275,barnett,96993
276,graves,96993
277,jimenez,96993
278,horton,96993
279,shelton,96993
280,barrett,96993
281,obrien,96993
282,castro,96993
283,sutton,94506
284,gregory,94506
285,mckinney,94506
286,lucas,94506
287,miles,94506
288,craig,94506
289,rodriquez,92019
290,chambers,92019
291,holt,92019
292,lambert,92019
293,fletcher,92019
294,watts,92019
295,bates,92019
296,hale,92019
297,rhodes,92019
298,pena,92019
299,beck,92019
300,newman,89532
301,haynes,89532
302,mcdaniel,89532
303,mendez,89532
304,bush,89532
305,vaughn,89532
306,parks,87045
307,dawson,87045
308,santiago,87045
309,norris,87045
310,hardy,87045
311,love,87045
312,steele,87045
313,curry,87045
314,powers,87045
315,schultz,87045
316,barker,87045
317,guzman,84558
318,page,84558
319,munoz,84558
320,ball,84558
321,keller,84558
322,chandler,84558
323,weber,84558
324,leonard,84558
325,walsh,82071
326,lyons,82071
327,ramsey,82071
328,wolfe,82071
329,schneider,82071
330,mullins,82071
331,benson,82071
332,sharp,82071
333,bowen,82071
334,daniel,82071
335,barber,79584
336,cummings,79584
337,hines,79584
338,baldwin,79584
339,griffith,79584
340,valdez,79584
341,hubbard,79584
342,salazar,79584
343,reeves,79584
344,warner,77097
345,stevenson,77097
346,burgess,77097
347,santos,77097
348,tate,77097
349,cross,77097
350,garner,77097
351,mann,77097
352,mack,77097
353,moss,77097
354,thornton,77097
355,dennis,77097
356,mcgee,77097
357,farmer,74610
358,delgado,74610
359,aguilar,74610
360,vega,74610
361,glover,74610
362,manning,74610
363,cohen,74610
364,harmon,74610
365,rodgers,74610
366,robbins,74610
367,newton,74610
368,todd,74610
369,blair,74610
370,higgins,74610
371,ingram,74610
372,reese,74610
373,cannon,74610
374,strickland,74610
375,townsend,74610
376,potter,74610
377,goodwin,74610
378,walton,74610
379,rowe,72123
380,hampton,72123
381,ortega,72123
382,patton,72123
383,swanson,72123
384,joseph,72123
385,francis,72123
386,goodman,72123
387,maldonado,72123
388,yates,72123
389,becker,72123
390,erickson,72123
391,hodges,72123
392,rios,72123
393,conner,72123
394,adkins,72123
395,webster,69636
396,norman,69636
397,malone,69636
398,hammond,69636
399,flowers,69636
400,cobb,69636
401,moody,69636
402,quinn,69636
403,blake,69636
404,maxwell,69636
405,pope,69636
406,floyd,67149
407,osborne,67149
408,paul,67149
409,mccarthy,67149
410,guerrero,67149
411,lindsey,67149
412,estrada,67149
413,sandoval,67149
414,gibbs,67149
415,tyler,67149
416,gross,67149
417,fitzgerald,67149
418,stokes,67149
419,doyle,67149
420,sherman,67149
421,saunders,67149
422,wise,67149
423,colon,67149
424,gill,67149
425,alvarado,67149
426,greer,64662
427,padilla,64662
428,simon,64662
429,waters,64662
430,nunez,64662
431,ballard,64662
432,schwartz,64662
433,mcbride,64662
434,houston,64662
435,christensen,64662
436,klein,64662
437,pratt,64662
438,briggs,64662
439,parsons,64662
440,mclaughlin,64662
441,zimmerman,64662
